PDB_ID,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Range_X,Range_Y,Range_Z,Cube_Size,Waterbox
'5I6W,-20.405051,-19.992445,-21.05004,17.076816,18.324364,18.109853,37.481867,38.316809,39.159893,60,60
'3SK5,-19.125765,-19.435924,-18.763108,17.161358,18.867371,18.397687,36.287123,38.303295,37.160795,59,60
'4KY6,-19.023891,-20.870029,-20.172912,17.086895,19.045112,18.25885,36.110786,39.915141,38.431762,60,60
'2OXP,-23.080296,-45.525287,-25.989462,20.181988,33.828028,19.682898,43.262284,79.35331500000001,45.67236,100,100
'1BVC,-22.189019,-22.067705,-20.728656,18.457745,21.750611,22.396208,40.646764,43.818315999999996,43.124864,64,65
'3ERQ,-18.865886,-19.299366,-19.092117,17.22679,18.372299,18.762242,36.092676,37.671665000000004,37.854359,58,60
'3BDC,-19.223659,-19.595002,-20.310159,17.139577,18.946579,17.348192,36.363236,38.541581,37.658350999999996,59,60
'5JAV,-20.577412,-20.099846,-18.26052,17.308647,18.937593,18.135633,37.886059,39.037439,36.396153,60,60
'1QT8,-20.386096,-17.480362,-23.154168,19.022167,23.04695,26.386365,39.408263,40.527311999999995,49.540532999999996,70,70
'2KIX,-19.456919,-24.640541,-19.165542,15.001081,27.657459,19.484458,34.458,52.298,38.65,73,75
'4EQP,-19.207702,-19.986162,-20.364223,17.154005,18.650818,18.456004,36.361707,38.63698,38.820227,59,60
'1L98,-20.521066,-17.477368,-23.215419,18.6842,23.232884,26.009892,39.205266,40.710252,49.225311000000005,70,70
'3D4D,-25.042499,-33.849075,-22.133065,22.976173,35.046123,18.89488,48.018671999999995,68.895198,41.027945,89,90
'2RBM,-17.819006,-20.79618,-20.930874,19.268276,21.223089,18.134118,37.087282,42.019269,39.064992000000004,63,65
'7XJD,-15.684624,-24.259101,-36.513531,17.084131,19.5434,30.321128,32.768755,43.802501,66.834659,87,90
'8UOZ,-24.544967,-29.103572,-25.702665,22.418033,21.786428,25.797335,46.963,50.89,51.5,72,75
'1PRW,-19.287204,-20.511714,-21.287651,20.82971,18.787154,21.006808,40.116913999999994,39.298868,42.294459,63,65
'3QOL,-19.097286,-19.561995,-20.024406,17.156503,19.01086,18.030708,36.253789,38.572855000000004,38.055114,59,60
