Folder,PDB_ID,Generated_File,Atom_Count,File_Size_KB,Full_Path
3QOJ,3QOJ_NEW_ID_Added,3QOJ_NEW_ID_Added_refined_coordinates.pdb,2106,166.8,../Graph_pKa/Features/3QOJ/3QOJ_NEW_ID_Added_refined_coordinates.pdb
4EQP,4EQP_NEW_ID_Added,4EQP_NEW_ID_Added_refined_coordinates.pdb,2093,165.77,../Graph_pKa/Features/4EQP/4EQP_NEW_ID_Added_refined_coordinates.pdb
4KY7,4KY7_NEW_ID_Added,4KY7_NEW_ID_Added_refined_coordinates.pdb,2155,170.68,../Graph_pKa/Features/4KY7/4KY7_NEW_ID_Added_refined_coordinates.pdb
8I41,8I41_NEW_ID_Added,8I41_NEW_ID_Added_refined_coordinates.pdb,25520,2018.89,../Graph_pKa/Features/8I41/8I41_NEW_ID_Added_refined_coordinates.pdb
5EGT,5EGT_NEW_ID_Added,5EGT_NEW_ID_Added_refined_coordinates.pdb,2099,166.25,../Graph_pKa/Features/5EGT/5EGT_NEW_ID_Added_refined_coordinates.pdb
5ISR,5ISR_NEW_ID_Added,5ISR_NEW_ID_Added_refined_coordinates.pdb,2096,166.01,../Graph_pKa/Features/5ISR/5ISR_NEW_ID_Added_refined_coordinates.pdb
4YIJ,4YIJ_NEW_ID_Added,4YIJ_NEW_ID_Added_refined_coordinates.pdb,4362,345.25,../Graph_pKa/Features/4YIJ/4YIJ_NEW_ID_Added_refined_coordinates.pdb
4HMJ,4HMJ_NEW_ID_Added,4HMJ_NEW_ID_Added_refined_coordinates.pdb,2093,165.77,../Graph_pKa/Features/4HMJ/4HMJ_NEW_ID_Added_refined_coordinates.pdb
2QDB,2QDB_NEW_ID_Added,2QDB_NEW_ID_Added_refined_coordinates.pdb,2401,190.14,../Graph_pKa/Features/2QDB/2QDB_NEW_ID_Added_refined_coordinates.pdb
5E3F,5E3F_NEW_ID_Added,5E3F_NEW_ID_Added_refined_coordinates.pdb,2103,166.56,../Graph_pKa/Features/5E3F/5E3F_NEW_ID_Added_refined_coordinates.pdb
4KY5,4KY5_NEW_ID_Added,4KY5_NEW_ID_Added_refined_coordinates.pdb,2096,166.01,../Graph_pKa/Features/4KY5/4KY5_NEW_ID_Added_refined_coordinates.pdb
3TP7,3TP7_NEW_ID_Added,3TP7_NEW_ID_Added_refined_coordinates.pdb,2099,166.25,../Graph_pKa/Features/3TP7/3TP7_NEW_ID_Added_refined_coordinates.pdb
6EEG,6EEG_NEW_ID_Added,6EEG_NEW_ID_Added_refined_coordinates.pdb,2101,166.41,../Graph_pKa/Features/6EEG/6EEG_NEW_ID_Added_refined_coordinates.pdb
1QT8,1QT8_NEW_ID_Added,1QT8_NEW_ID_Added_refined_coordinates.pdb,2650,209.83,../Graph_pKa/Features/1QT8/1QT8_NEW_ID_Added_refined_coordinates.pdb
3SK5,3SK5_NEW_ID_Added,3SK5_NEW_ID_Added_refined_coordinates.pdb,2096,166.01,../Graph_pKa/Features/3SK5/3SK5_NEW_ID_Added_refined_coordinates.pdb
3BDC,3BDC_NEW_ID_Added,3BDC_NEW_ID_Added_refined_coordinates.pdb,2100,166.33,../Graph_pKa/Features/3BDC/3BDC_NEW_ID_Added_refined_coordinates.pdb
5KIX,5KIX_NEW_ID_Added,5KIX_NEW_ID_Added_refined_coordinates.pdb,2096,166.01,../Graph_pKa/Features/5KIX/5KIX_NEW_ID_Added_refined_coordinates.pdb
2V8N,2V8N_NEW_ID_Added,2V8N_NEW_ID_Added_refined_coordinates.pdb,13262,1049.26,../Graph_pKa/Features/2V8N/2V8N_NEW_ID_Added_refined_coordinates.pdb
7XJD,7XJD_NEW_ID_Added,7XJD_NEW_ID_Added_refined_coordinates.pdb,3615,286.17,../Graph_pKa/Features/7XJD/7XJD_NEW_ID_Added_refined_coordinates.pdb
3TP8,3TP8_NEW_ID_Added,3TP8_NEW_ID_Added_refined_coordinates.pdb,2096,166.01,../Graph_pKa/Features/3TP8/3TP8_NEW_ID_Added_refined_coordinates.pdb
3EJI,3EJI_NEW_ID_Added,3EJI_NEW_ID_Added_refined_coordinates.pdb,2125,168.3,../Graph_pKa/Features/3EJI/3EJI_NEW_ID_Added_refined_coordinates.pdb
1VII,1VII_NEW_ID_Added,1VII_NEW_ID_Added_refined_coordinates.pdb,596,47.36,../Graph_pKa/Features/1VII/1VII_NEW_ID_Added_refined_coordinates.pdb
3C1E,3C1E_NEW_ID_Added,3C1E_NEW_ID_Added_refined_coordinates.pdb,2140,169.49,../Graph_pKa/Features/3C1E/3C1E_NEW_ID_Added_refined_coordinates.pdb
5E1F,5E1F_NEW_ID_Added,5E1F_NEW_ID_Added_refined_coordinates.pdb,2108,166.96,../Graph_pKa/Features/5E1F/5E1F_NEW_ID_Added_refined_coordinates.pdb
1EY7,1EY7_NEW_ID_Added,1EY7_NEW_ID_Added_refined_coordinates.pdb,2398,189.9,../Graph_pKa/Features/1EY7/1EY7_NEW_ID_Added_refined_coordinates.pdb
1LE2,1LE2_NEW_ID_Added,1LE2_NEW_ID_Added_refined_coordinates.pdb,2352,186.26,../Graph_pKa/Features/1LE2/1LE2_NEW_ID_Added_refined_coordinates.pdb
3EVQ,3EVQ_NEW_ID_Added,3EVQ_NEW_ID_Added_refined_coordinates.pdb,2096,166.01,../Graph_pKa/Features/3EVQ/3EVQ_NEW_ID_Added_refined_coordinates.pdb
5KGU,5KGU_NEW_ID_Added,5KGU_NEW_ID_Added_refined_coordinates.pdb,2098,166.17,../Graph_pKa/Features/5KGU/5KGU_NEW_ID_Added_refined_coordinates.pdb
2RBM,2RBM_NEW_ID_Added,2RBM_NEW_ID_Added_refined_coordinates.pdb,2125,168.3,../Graph_pKa/Features/2RBM/2RBM_NEW_ID_Added_refined_coordinates.pdb
4HMI,4HMI_NEW_ID_Added,4HMI_NEW_ID_Added_refined_coordinates.pdb,2128,168.54,../Graph_pKa/Features/4HMI/4HMI_NEW_ID_Added_refined_coordinates.pdb
1L98,1L98_NEW_ID_Added,1L98_NEW_ID_Added_refined_coordinates.pdb,2642,209.2,../Graph_pKa/Features/1L98/1L98_NEW_ID_Added_refined_coordinates.pdb
5IIF,5IIF_NEW_ID_Added,5IIF_NEW_ID_Added_refined_coordinates.pdb,2098,166.17,../Graph_pKa/Features/5IIF/5IIF_NEW_ID_Added_refined_coordinates.pdb
3ITP,3ITP_NEW_ID_Added,3ITP_NEW_ID_Added_refined_coordinates.pdb,2102,166.48,../Graph_pKa/Features/3ITP/3ITP_NEW_ID_Added_refined_coordinates.pdb
3H6M,3H6M_NEW_ID_Added,3H6M_NEW_ID_Added_refined_coordinates.pdb,2099,166.25,../Graph_pKa/Features/3H6M/3H6M_NEW_ID_Added_refined_coordinates.pdb
8UOZ,8UOZ_NEW_ID_Added,8UOZ_NEW_ID_Added_refined_coordinates.pdb,3442,272.48,../Graph_pKa/Features/8UOZ/8UOZ_NEW_ID_Added_refined_coordinates.pdb
5DEH,5DEH_NEW_ID_Added,5DEH_NEW_ID_Added_refined_coordinates.pdb,2098,166.17,../Graph_pKa/Features/5DEH/5DEH_NEW_ID_Added_refined_coordinates.pdb
3ERQ,3ERQ_NEW_ID_Added,3ERQ_NEW_ID_Added_refined_coordinates.pdb,2103,166.56,../Graph_pKa/Features/3ERQ/3ERQ_NEW_ID_Added_refined_coordinates.pdb
2RVQ,2RVQ_NEW_ID_Added,2RVQ_NEW_ID_Added_refined_coordinates.pdb,4148,328.33,../Graph_pKa/Features/2RVQ/2RVQ_NEW_ID_Added_refined_coordinates.pdb
3DMU,3DMU_NEW_ID_Added,3DMU_NEW_ID_Added_refined_coordinates.pdb,2400,190.06,../Graph_pKa/Features/3DMU/3DMU_NEW_ID_Added_refined_coordinates.pdb
3QOL,3QOL_NEW_ID_Added,3QOL_NEW_ID_Added_refined_coordinates.pdb,2099,166.25,../Graph_pKa/Features/3QOL/3QOL_NEW_ID_Added_refined_coordinates.pdb
5J1Z,5J1Z_NEW_ID_Added,5J1Z_NEW_ID_Added_refined_coordinates.pdb,2102,166.48,../Graph_pKa/Features/5J1Z/5J1Z_NEW_ID_Added_refined_coordinates.pdb
1BVC,1BVC_NEW_ID_Added,1BVC_NEW_ID_Added_refined_coordinates.pdb,2471,195.67,../Graph_pKa/Features/1BVC/1BVC_NEW_ID_Added_refined_coordinates.pdb
